"ABBREVIATE_CHART_LABELS";"Afgekorte veldtitels"
"show_basic";"Druk basisgebeurtenissen af indien leeg?"
"show_changes";"Dit record is gewijzigd. Klik hier om de wijzigingen te tonen."
"show_contexthelp";"Toon contextuele helpinformatie"
"show_cousins";"Toon neven en nichten"
"show_details";"Toon details"
"show_dir";"Toon map"
"show_empty_block";"Vak verbergen wanneer het leeg is?"
"show_events";"Toon gebeurtenissen"
"show_gedrec_-1";"Nooit"
"show_gedrec_0";"Aan alle gebruikers en bezoekers"
"show_gedrec_1";"Aan gebruikers met tenminste toegangsrechten"
"show_gedrec_2";"Aan gebruikers met tenminste wijzigrechten"
"show_gedrec_3";"Aan gebruikers die tenminste wijzigingen kunnen goedkeuren"
"show_gedrec_4";"Aan gebruikers met tenminste GEDCOM-beheerrechten"
"show_gedrec_5";"Alleen aan websitebeheerders"
"show_last";"Toon laatste"
"show_links";"Verwijzingen"
"show_next_id";"Toon eerstvolgende vrije ID's"
"show_notes";"Toon notities?"
"show_path";"Toon pad"
"show_photos";"Toon foto's?"
"show_phpinfo";"Toon PHPInfo"
"show_place_hierarchy";"Toon locaties op hoogste niveau"
"show_place_list";"Toon alle locaties in een lijst"
"show_question";"Zichtbaar?"
"show_sections";"Toon wijzigingen"
"show_spouses";"Toon partners"
"show_status";"Toon acties met status:"
"show_surnames";"Toon achternamenlijst"
"show_thumbnail";"Toon miniweergaves"
"showcal";"Toon gebeurtenissen van:"
"sibling";"Broer/zus"
"siblings";"Broers/zussen"
"sister";"Zus"
"sister-in-law";"Schoonzuster"
"site_config";"Website instellingen voor"
"site_default";"Standaard site"
"siteadmin";"Site-beheerder"
"sitemap_export_success";"Sitemap is gegenereerd"
"size";"Grootte"
"skip_cleanup";"Opschonen overslaan"
"skip_surnames";"Sla achternamenlijst over"
"slk_list";"Excel (SLK) lijst"
"son";"Zoon"
"son-in-law";"Schoonzoon"
"sorry";"<b>Sorry, de helptekst voor deze pagina is nog niet gereed.</b>"
"sort_by";"Sorteren op"
"sort_by_birth";"Sorteren op geboortedatum"
"sort_by_marriage";"Sorteren op huwelijksdatum"
"sort_by_person";"Sorteren op actie voor"
"sort_by_repo";"Sorteren op bewaarplaats"
"sort_on_linked";"Sorteer op gekoppeld"
"sort_on_name";"Sorteer op naam"
"sort_on_size";"Sorteer op grootte"
"sosa_10";"opper"
"sosa_11";"hoog"
"sosa_12";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_13";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_14";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_15";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_16";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_17";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_18";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_19";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_2";"groot"
"sosa_20";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_21";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_22";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_23";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_24";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_25";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_26";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_27";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_28";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_29";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_3";"over"
"sosa_30";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_31";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_32";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_33";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_34";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_35";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_36";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_37";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_38";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_39";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_4";"bet"
"sosa_40";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_41";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_42";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_43";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_44";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_45";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_46";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_47";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_48";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_49";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_5";"oud"
"sosa_50";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_51";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_52";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_53";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_54";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_55";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_56";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_57";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_58";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_59";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_6";"stam"
"sosa_60";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_61";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_62";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_63";"Deze variabele wordt in het Nederlands niet gebruikt."
"sosa_7";"edel"
"sosa_8";"voor"
"sosa_9";"aards"
"soundex_search";"Zoek gelijkende persoons- of plaatsnamen (Soundex):"
"sour_linking";"Links van bronnen"
"source";"Bron"
"source_complete";"Algemene index voltooid."
"source_contains";"Bron bevat:"
"source_downloaded_from";"Deze bron is gedownload van:"
"source_id_no_exists";"Dit bron-ID bestaat niet, voer een geldige in!"
"source_info";"Bron-informatie"
"source_list";"Bronnen"
"source_menu";"Opties voor bron"
"source_name";"Naam bron:"
"source_not_found";"Bron niet gevonden"
"sources";"Bronnen"
"sources_found";"Bronnen gevonden"
"spouse";"Partner"
"spouse-family";"Partner en kinderen"
"ssourcess";"Bronnen"
"standard_conf";"Standaard configuratieopties"
"start_at_parents";"Ga naar ouders"
"starts_with";"Beginnend met:"
"stat_10_none";"Geen"
"stat_11_mb";"Geboortemaand"
"stat_12_md";"Overlijdensmaand"
"stat_13_mm";"Huwelijksmaand"
"stat_14_mb1";"Maand van geboorte van eerste kind in relatie"
"stat_15_mm1";"Maand eerste huwelijk"
"stat_16_mmb";"Maanden tussen huwelijk en eerste kind"
"stat_17_arb";"Leeftijd ten opzichte van geboortejaar."
"stat_18_ard";"Leeftijd ten opzichte van overlijdensjaar."
"stat_19_arm";"Leeftijd bij huwelijk."
"stat_200_none";"alle (of leeg)"
"stat_201_num";"Aantallen"
"stat_202_perc";"Percentage"
"stat_20_arm1";"Leeftijd in jaar eerste huwelijk."
"stat_21_nok";"Aantal kinderen."
"stat_300_none";"geen"
"stat_301_mf";"Man/vrouw"
"stat_302_cgp";"Perioden: controleer grenswaarden voor perioden z-as"
"stat_average_children";"Gemiddeld aantal kinderen per gezin"
"stat_avg_age_at_death";"Gemiddelde leeftijd bij overlijden"
"stat_earliest_birth";"Vroegste geboortejaar"
"stat_events";"Aantal gebeurtenissen"
"stat_families";"Gezinnen"
"stat_gax";"controleer grenswaarden voor leeftijden"
"stat_gmx";"controleer grenswaarden voor maand"
"stat_gnx";"controleer grenswaarden voor aantallen"
"stat_individuals";"Personen"
"stat_latest_birth";"Laatste geboortejaar"
"stat_longest_life";"Langst levende persoon"
"stat_media";"Multimedia-objecten"
"stat_most_children";"Gezin met meeste kinderen"
"stat_other";"Overige gegevens"
"stat_ro";"Alleen lezen"
"stat_rw";"Lezen/schrijven"
"stat_sources";"Bronnen"
"stat_surnames";"Aantal achternamen"
"stat_users";"Aantal gebruikers"
"statar_xga";"Keuzwaarden voor aantallen (x-as):"
"statar_xgl";"Grenswaarden voor leeftijden (x-as):"
"statar_xgm";"Grenswaarden voor maand (x-as):"
"statar_xgp";"Grenswaarden voor perioden (z-as):"
"statar_zgp";"Grenswaarden voor perioden (z-as):"
"statistics";"Statistieken"
"statistiek_list";"Statistische plot"
"statlxa";"Langs x-as:"
"statlya";"Langs y-as:"
"statlza";"Langs z-as:"
"statmess1";"<b>Verander eventueel de volgende waarden afhankelijk van settings x-as en z-as</b>"
"statnfam";"Aantal gezinnen"
"statnfemale";"Aantal vrouwen"
"statnmale";"Aantal mannen"
"statnnames";"Aantal namen"
"statreset";"Herstel"
"stats_to_show";"Selecteer in dit vak te tonen statistieken"
"statsubmit";"Laat plot zien"
"status";"Status"
"statutci";"kan de index niet aanmaken"
"statvars";"Zet de volgende variabelen voor de plot"
"step1";"Stap 1 van 4:"
"step2";"Stap 2 van 4:"
"step3";"Stap 3 van 4:"
"step4";"Stap 4 van 4:"
"stepbrother";"Stiefbroer"
"stepdad";"Stiefvader"
"stepfamily";"Stiefgezin"
"stepmom";"Stiefmoeder"
"stepsister";"Stiefzuster"
"still_living_error";"Deze persoon leeft nog of heeft geen geregistreerde geboorte- of sterfdatum. Alle details van levende personen zijn verborgen voor openbaar gebruik.<br />Neem voor meer informatie contact op met"
"stillborn";"Doodgeboren"
"stpl";"..."
"stplGDno";"De GD(Graphics Display) Library is niet in PHP 4 aanwezig. Vraag uw systeembeheerder deze te installeren. Dit eist PHP 4.3.8 of hoger<br>"
"stplage";"leeftijd"
"stplgzas";"grenzen z-as:"
"stplinfo";"variabelen voor deze grafiek:"
"stplipot";"/ per tijdeenheid"
"stpljpgraphno";"JPgraph modules zijn niet beschikbaar in Genmod/jpgraph/. U kunt ze downloaden vanaf http://jpgraph.net/download/<br> <h3>Installeer eerst JPgraph in directory Genmod/jpgraph/ </h3><br>"
"stplmarrbirth";"Maanden tussen huwelijk en geboorte eerste kind"
"stplmf";"/ man-vrouw"
"stplmonth";"maand"
"stplnoim";"niet geïmplementeerd:"
"stplnum";"aantallen"
"stplnumbers";"aantallen"
"stplnumof";"Aantallen"
"stplperc";"percentage"
"stpltype";"type:"
"submitter";"Aangever"
"subtractions";"Verwijderingen"
"suffix";"Toevoeging:"
"sunday";"Zondag"
"sunday_1st";"Zo"
"support_contact";"Contactpersoon technische hulp"
"surname";"Achternaam:"
"surnames";"Achternamen"
"switch_functions";"Wissel functies"
"sync_gedcom";"Gebruikersgegevens met genealogiegegevens synchroniseren"
"sync_mailsource";"Automatisch gekopieerd vanuit de Genmod gebruikersgegevens"
"syslog";"Systeemlog"
"system_configuration_updated";"Systeemconfiguratie succesvol bijgewerkt."
"system_time";"Huidige systeemdatum/tijd: "
"tables_exist";"Genmod tabellen bestaan reeds in de database"
"temple";"LDS tempel"
"temple_code";"LDS Tempelcode:"
"text";"Tekst:"
"text_direction";"Richting van de tekst:"
"thankyou";"Hallo #user_fullname# ...<br />Dank voor uw registratie"
"theme_select_block";"Selecteer een thema"
"theme_select_descr";"Dit vak geeft de keuzelijst 'selecteer een thema' weer, zelfs wanneer dit staat uitgeschakeld in de instellingen."
"this_family";"Dit gezin"
"this_individual";"Deze persoon"
"this_media";"Dit multimedia-item"
"this_note";"Deze notitie"
"this_repository";"Deze bewaarplaats"
"this_source";"Deze bron"
"thishelp_add_text";"Voeg een Engelse helptekst toe voor dit onderwerp"
"thishelp_add_trans";"Voeg een vertaling toe voor deze helptekst"
"thishelp_edit_trans";"Wijzig deze helptekst"
"thumb_genned";"Miniweergave is automatisch gegenereerd."
"thumb_options";"Opties miniweergaves"
"thumbgen_error";"Kan miniweergave niet genereren voor "
"thumbnail";"Miniweergave"
"thumbnail_deleted";"Miniweergave verwijderd."
"thumbnail_not_deleted";"Miniweergave kan niet worden verwijderd."
"thumbs_deleted";"Map miniweergaves succesvol verwijderd"
"thumbs_not_deleted";"Map voor miniweergaves niet verwijderd"
"thursday";"Donderdag"
"thursday_1st";"Do"
"time_format";"Tijdformaat"
"time_limit";"PHP tijdslimiet"
"timeline_chart";"Tijdlijn"
"timeline_instructions";"In de nieuwste Internet Verkenners is het mogelijk om de weergegeven blokken te verschuiven zoals u dat wilt."
"timeline_title";"Tijdlijn"
"timeout_error";"Maximale zoektijd overschreden voordat een relatie werd gevonden."
"title";"Titel"
"titles_found";"Titels"
"to";"tot"
"to_family";"aan een gezin"
"to_person";"aan een persoon"
"to_source";"aan een bron"
"today";"Vandaag"
"todays_events_block";"Op deze dag, in het verleden...."
"todays_events_descr";"Het vak "Op deze dag, in het verleden...." toont een lijst met gebeurtenissen, die op deze dag hebben plaatsgevonden. De gebeurtenissen zijn beperkt tot de actieve genealogie. Op de persoonlijke MyGenmod pagina worden alleen gebeurtenissen van levende personen getoond, op een Welkomstpagina de gebeurtenissen van alle personen. Als geen gebeurtenissen worden gevonden, wordt het vak niet getoond."
"todo";"Actiepunt"
"tools_readme";"Zie ook de "tools-section" van het #README.TXT# bestand voor meer informatie."
"top";"Boven"
"top10_botviews";"Meest door robots bezocht"
"top10_botviews_descr";"Dit blok toont de gegevens die het meest door zoekrobots zijn bezocht. Hiervoor moet de bezoekteller in de GEDCOM-configuratie zijn aangezet."
"top10_pageviews";"Meest bekeken gegevens"
"top10_pageviews_block";"Meest bekeken gegevens"
"top10_pageviews_descr";"Dit blok toont de 10 gegevens die het meest zijn bekeken. Het is noodzakelijk dat de bezoekteller is ingeschakeld. Zie hiervoor de GEDCOM-configuratie."
"top10_pageviews_msg";"Om dit vak te laten functioneren moet de bezoekteller zijn ingeschakeld in de GEDCOM-configuratie."
"top10_pageviews_nohits";"Er zijn geen bezoeken geregisteerd."
"top_level";"Hoogste niveau"
"total_actions";"Aantal acties"
"total_dead";"Totaal overleden"
"total_fams";"Gezinnen gevonden"
"total_indis";"Personen gevonden"
"total_living";"Totaal in leven"
"total_media";"Totaal aantal multimedia objecten"
"total_memory_usage";"Totaal geheugengebruik:"
"total_messages";"Totaal aantal berichten:"
"total_names";"Totaal aantal namen"
"total_not_born";"Totaal nog niet geboren"
"total_notes";"Totaal aantal notities"
"total_places";"Locaties gevonden"
"total_privacy_checks";"Aantal privacycontroles:"
"total_queries";"Totaal aantal databasevragen:"
"total_repositories";"Aantal bewaarplaatsen"
"total_sources";"Aantal bronnen"
"total_unic_places";"Aantal unieke locaties"
"translation_forum";"Vertalersforum op Genmod"
"translation_forum_desc";"Deze <a href="http://sourceforge.net/projects/genmod" target=_blank><b>koppeling</b></a> opent een nieuw venster in uw Internet Verkenner, naar het vertalerforum van Genmod. Hier kunt u vragen stellen over vertalingen, problemen voorleggen en (als u wilt) u aanmelden voor het leveren van een bijdrage aan de vertalingen.<br />Als u moeite heeft met de Engelse taal, dan kunt u uw bericht in het Nederlands stellen.<br /><br />"
"translator_tools";"Beheer taalbestanden"
"tuesday";"Dinsdag"
"tuesday_1st";"Di"
"twin";"Tweeling"
"twin_brother";"Tweelingbroer"
"twin_sister";"Tweelingzus"
"type";"Type"
"type_audio";"Geluidsfragment"
"type_book";"Boek"
"type_card";"Kaart"
"type_electronic";"Elektronische afbeelding"
"type_fiche";"Microfiche"
"type_film";"Film"
"type_magazine";"Tijdschrift"
"type_manuscript";"Manuscript"
"type_map";"Landkaart"
"type_newspaper";"Krant"
"type_photo";"Foto"
"type_tombstone";"Grafsteen"
"type_video";"Video"
"um_actions";"Actiepunten"
"um_backup";"Backup"
"um_bu_actions";"Actiepunten"
"um_bu_config";"Genmod instellingenbestand en lockout tabel"
"um_bu_explain";"Dit programma maakt een backup van verschillende soorten gegevens in Genmod.<br /><br />De gegevens die u hieronder voor de backup selecteert worden verzameld en in een ZIP-bestand opgeslagen.<br />Dit kunt u downloaden met de koppeling die dan onderaan de pagina verschijnt.<br />Het ZIP-bestand blijft aanwezig in uw index-map totdat u dit handmatig verwijdert."
"um_bu_gedcoms";"GEDCOM bestanden"
"um_bu_gedsets";"GEDCOM bestands- en privacy-instellingen"
"um_bu_lang";"Taalinstellingen en taal-uitbreidingsbestanden"
"um_bu_logs";"GEDCOM tellers, zoek-logs, Genmod-logs en bezoektellers"
"um_bu_media";"Multimediabestanden gebruikt door Genmod"
"um_bu_mypages";"Mijn Pagina's"
"um_bu_usinfo";"Gebruikersinstellingen, vakinstellingen. favorieten, berichten en nieuwsberichten."
"um_creating";"Aanmaken"
"um_export";"Export"
"um_file_create_fail1";"Aanmaken van nieuw bestand is mislukt, een bestand met deze naam bestaat al:"
"um_file_create_fail2";"Aanmaken niet mogelijk van"
"um_file_create_fail3";"Controleer uw toegangsrechten tot deze map."
"um_file_create_succ1";"Bestand succesvol aangemaakt:"
"um_file_not_created";"Bestand is niet aangemaakt."
"um_files_exist";"Een of meer bestanden bestaat al. Wilt u deze overschrijven?"
"um_header";"Migreren gebruikersinformatie"
"um_imp_blocks";"Importeren vakindelingen"
"um_imp_fail";"Importfout"
"um_imp_favorites";"Importeren favorieten"
"um_imp_messages";"Importeren berichten"
"um_imp_news";"Importeren nieuwsberichten"
"um_imp_succ";"Import gereed"
"um_imp_users";"Importeren gebruikers"
"um_import";"Import"
"um_mediaexp";"De multimediabestanden zijn geëxporteerd naar het fysieke bestandssysteem, in uw multimedia-map. U dient deze bestanden na afloop van de backup handmatig te verwijderen."
"um_mk_bu";"Maak backup"
"um_mk_res";"Start restore"
"um_noaction";"Er zijn nu geen handelingen nodig om de gebruikersinformatie naar SQL-modus over te zetten.<br />Zodra u bent overgeschakeld naar SQL-modus, kunt u dit programma opnieuw starten om alle gebruikersgegevens in uw SQL-database te importeren.<br />U dient het bestand "authenticate.php" en de .dat bestanden <b>niet</b> uit uw indexmap te verwijderen bij het overschakelen.<br />"
"um_noblocks";"Er zijn geen indelingsdefinities aanwezig in het systeem."
"um_nofav";"Er zijn geen favorieten aanwezig in het systeem."
"um_nofiles";"Geen bestanden gevonden voor de backup."
"um_nomedia";"De optie om multimedia-bestanden in de backup op te nemen is uitgeschakeld. Mogelijke oorzaken zijn onvoldoende rechten voor de multimedia-map, een ontbrekende multimedia-map en onvoldoende schijfruimte."
"um_nomsg";"Er zijn geen berichten aanwezig in het systeem."
"um_nonews";"Er zijn geen nieuwsberichten aanwezig in het systeem."
"um_nousers";"Bestand "authenticate.php" niet gevonden in uw indexmap. Migratie is afgebroken."
"um_proceed";"Doorgaan met importeren/exporteren van gebruikersinformatie?<br /><br />"
"um_proceed_bu";"Doorgaan met backup"
"um_res_actions";"Restore actiepunten"
"um_res_changes";"Restore GEDCOM-wijzigingen die wachten op goedkeuring"
"um_res_config";"Restore lockout-tabel"
"um_res_counters";"Restore bezoektellers"
"um_res_errors";"Er zijn fouten opgetreden tijdens de restore. Klik hier voor meer informatie uit het systeemlog."
"um_res_gedsets";"Restore GEDCOM bestands- en privacy-instellingen"
"um_res_lang";"Taalinstellingen"
"um_res_logs";"Restore zoek-, GEDCOM- en systeemlogs en bezoektellers"
"um_res_mypages";"Mijn Pagina's"
"um_res_nofiles";"In de index-map zijn geen bestanden gevonden om te restoren"
"um_res_nooptions";"Selecteer welke gegevens gerestored moeten worden"
"um_res_success";"De geselecteerde gegevens zijn met succes gerestored."
"um_res_usinfo";"Restore gebruikersinstellingen, vakinstellingen. favorieten, berichten en nieuwsberichten."
"um_restore";"Restore"
"um_results";"Resultaten"
"um_zip_dl";"Download ZIP-bestand met backup"
"um_zip_succ";"ZIP-bestand succesvol aangemaakt."
"unable_to_create_index";"Schrijven van indexbestand is mislukt. Schrijfrechten op de index-map van Genmod zijn vereist. U kunt de schrijfrechten later weer verwijderen als de indexbestanden zijn weggeschreven."
"unable_to_find_family";"Niet gevonden: gezin met ID"
"unable_to_find_indi";"Niet gevonden: persoon met ID"
"unable_to_find_privacy_indi";"Kan geen persoon met dit ID vinden"
"unable_to_find_record";"Niet gevonden: record met ID"
"unable_to_find_repo";"Niet gevonden: bewaarplaats met ID"
"unable_to_find_source";"Niet gevonden: bron met ID"
"unable_to_open";"Het is niet mogelijk om naar de knipselbak te schrijven"
"unapproved_link";"De links naar deze gegevens zijn gewijzigd. Pas na acceptatie zullen deze wijzigingen zichtbaar worden."
"unborn";"Ongeboren"
"uncle";"Oom"
"under";"onder"
"undo";"Maak ongedaan"
"unknown";"Onbekend"
"unlink_list";"Personen zonder relaties"
"unmatching_facts";"De volgende gebeurtenissen komen niet overeen. Selecteer de gegevens die behouden moeten worden."
"unrecognized_code";"Onbekende GEDCOM-code"
"unrecognized_code_msg";"Er is een fout opgetreden, die we graag willen verhelpen. Meldt deze fout a.u.b. aan"
"until_unlocked";"Na handmatige vrijgave"
"upcoming_events";"Binnenkort....."
"upcoming_events_block";"Binnenkort..."
"upcoming_events_descr";"Het vak "Binnenkort...." toont een lijst met gebeurtenissen, die op deze dag en tot 30 dagen daarna hebben plaatsgevonden. De gebeurtenissen zijn beperkt tot de actieve genealogie. In een gebruikersportaal worden alleen gebeurtenissen van levende personen getoond, in een portaal van de genealogie de gebeurtenissen van alle personen."
"update_address";"Adres bijwerken"
"update_fact";"Feit bijwerken"
"update_fact_restricted";"Bijwerken van dit feit is beperkt:"
"update_fail";"Bijwerken is mislukt. Neem contact op met de websitebeheerder"
"update_myaccount";"Mijn gegevens bijwerken"
"update_name";"Naam bijwerken"
"update_photo";"Afbeelding bijwerken"
"update_successful";"Bijwerken geslaagd."
"update_user";"Aanpassen gebruiker"
"update_users_selected_nok";"Bijwerken van de geselecteerde gebruikers is mislukt."
"update_users_selected_ok";"De geselecteerde gebruikers zijn bijgewerkt."
"updating_family_names";"Bijwerken familienamen voor FAM"
"updating_is_dead";"Aanpassen van overlijden voor INDI"
"updating_linked";"Aanpassen gekoppelde gegevens"
"upgrade";"Upgrade Genmod"
"upl_thumb";"Miniweergave (indien leeg tracht Genmod deze aan te maken)"
"upload";"Upload"
"upload_db";"Upload multimediabestand naar de database"
"upload_error";"Er is een fout opgetreden bij het uploaden van het bestand."
"upload_file";"Bestand uploaden vanaf uw computer"
"upload_filesys";"Upload multimediabestand naar het fysieke bestandssysteem"
"upload_gedcom";"Upload GEDCOM-bestand"
"upload_media";"Uploaden mediabestanden"
"upload_path";"Map voor upload"
"upload_successful";"Upload geslaagd"
"upload_to_index";"Upload het bestand naar de index-map."
"urgent";"Urgent nieuws"
"url";"URL"
"use_blocks_for_default";"Gebruik deze vakken als standaard voor alle gebruikers?"
"used_in";"Gebruikt in:"
"user";"Aangemelde gebruiker"
"user_admin";"Beheer gebruikers"
"user_auto_accept";"Accepteer wijzigingen van deze gebruiker automatisch"
"user_cannot_edit";"Gebruiker kan deze genealogie niet aanpassen."
"user_contact_method";"Gewenste verzendwijze"
"user_create_error";"Het is niet mogelijk om de gebruiker toe te voegen. Probeer het opnieuw."
"user_created";"Gebruiker gemaakt."
"user_default_tab";"Standaard tabblad voor persoonspagina"
"user_favorites_block";"Favorieten gebruiker"
"0";"0"
"user_favorites_descr";"Het vak "Favorieten gebruiker" toont de gebruiker een lijst van zijn of haar favoriete personen in de genealogie. Op die wijze kan de gebruiker snel de gegevens van deze personen inzien."
"user_info";"Mijn gebruikersinformatie"
"user_manual";"Genmod gebruikershandboek"
"user_messages_block";"Mijn berichten"
"user_messages_descr";"Het vak "Mijn berichten" toont een lijst met berichten die aan de actieve gebruiker zijn gezonden."
"user_name";"Gebruikersnaam"
"user_news_block";"Gebruikers notitieblok"
"user_news_descr";"Op het gebruikers notitieblok kan de gebruiker zelf online aantekeningen en notities maken en bewaren."
"user_no_email";"Genmod heeft geen e-mailadres waar het nieuwe wachtwoord heen gestuurd kan worden.<br />Neem contact op met de beheerder middels de link hieronder."
"user_not_exist";"Gebruiker bestaat niet."
"user_not_found";"Gebruiker niet gevonden!"
"user_overr_exists";"Sommige bestaande gebruikersinstellingeen overrulen deze privacy-instellingen."
"user_overr_show";"Klik hier om deze gebruikers te tonen."
"user_password_same";"Gebruikersnaam en wachtwoord moeten verschillend zijn."
"user_path_length";"Maximaal aantal stappen afstand binnen verwantschap"
"user_privacy";"Privacy instellingen voor een gebruiker"
"user_relationship_priv";"Toegang beperken tot verwante personen"
"user_theme";"Mijn site-opmaak"
"user_verify";"Verificatie gebruiker"
"username";"Gebruikers naam"
"usernamefilter";"(Volledige) naam van gebruiker bevat:"
"useropt_conf";"Opties voor gebruikers"
"users_admin";"Website beheerders"
"users_gedadmin";"GEDCOM-beheerders"
"users_langs";"Gebruikers per taal"
"users_logged_in";"Aangemelde gebruikers"
"users_total";"Totaal aantal gebruikers"
"users_unver";"Niet geverifieerd door gebruiker"
"users_unver_admin";"Niet geverifieerd door beheerder"
"usr_deleted";"Gebruiker verwijderd: "
"usr_idle";"Aantal maanden voordat de gebruiker beschouwd wordt als te lang niet aangemeld: "
"usr_idle_toolong";"Deze gebruiker is te lang inactief geweest: "
"usr_no_cleanup";"Niets gevonden om op te schonen"
"usr_unset_gedcomid";"GEDCOM-ID verwijderd voor "
"usr_unset_rights";"GEDCOM-rechten verwijderd voor "
"usr_unset_rootid";"Start-ID verwijderd voor "
"utf8_to_ansi";"Converteer dit GEDCOM-bestand van UTF-8 naar ANSI (ISO-8859-1)?"
"valid_gedcom";"Geldig GEDCOM-bestand gevonden. Opschonen is niet noodzakelijk."
"validate_gedcom";"Valideren GEDCOM-bestand"
"var_not_exist";"<span style=font-weight: bold>De taalvariabele bestaat niet. Meldt dit alstublieft als een probleem aan.</span>"
"verified";"Registratie bevestigd"
"verified_by_admin";"Registratie goedgekeurd"
"verify_gedcom";"Gedcom verifieren"
"verify_upload_instructions";"Als u kiest om door te gaan, wordt het oude GEDCOM-bestand overschreven door het GEDCOM-bestand dat u heeft ge-upload, en begint het importeren opnieuw. Als u Annuleren kiest blijft het oude GEDCOM-bestand intact."
"view";"Ververs pagina"
"view_change_diff";"Toon wijzigingen"
"view_changelog";"Versie #VERSION# aanpassingen"
"view_family";"Bekijk gezin"
"view_gedcom";"Toon GEDCOM-gegevens"
"view_gedlog";"Toon GEDCOM-log"
"view_logs";"Bekijk log-bestanden"
"view_person";"Bekijk persoon"
"view_readme";"README documentatie"
"view_records_in_place";"Alle personen/gezinnen op deze locatie"
"view_repo";"Toon bewaarplaats"
"view_searchlog";"Toon zoeklog"
"view_source";"Bekijk bron"
"view_syslog";"Toon systeemlog"
"viewday";"Toon dag"
"viewing_url";"Het bericht is verzonden vanaf de volgende URL:"
"viewmonth";"Toon maand"
"viewyear";"Toon jaar"
"visibleonline";"Zichtbaar voor anderen als aangemeld"
"visitor";"Bezoeker"
"warn_users";"Gebruikers met waarschuwing"
"warning";"Waarschuwingsbericht"
"wednesday";"Woensdag"
"wednesday_1st";"Wo"
"week_start";"Week begint op:"
"weekly";"Wekelijks"
"welcome";"Welkom"
"welcome_block";"Welkom ......"
"welcome_descr";"Het vak "Welkom ....." toont de gebruiker de datum en tijd, een directe koppeling naar de eigen gebruikersgegevens en de eigen kwartierstaat.<br />Ook kan de gebruiker de indeling van de eigen MyGenmod-pagina wijzigen."
"welcome_new";"Welkom bij uw nieuwe Genmod website. U ziet deze pagina omdat u Genmod met succes op uw webserver heeft geïnstalleerd en kunt nu beginnen met het instellen volgens uw wensen.<br />"
"welcome_page";"Welkomstpagina"
