"select_an_option";"Gjør et valg under:"
"um_res_gedsets";"Gjenopprett GEDCOM-innstillinger, konfigurasjon og personvern-filer"
"um_res_changes";"Gjenopprett GEDCOM endringer som venter på godkjenning"
"um_bu_logs";"GEDCOM tellere, søke-logger og Genmod logg-filer"
"um_res_logs";"Gjenopprett logg-filer for søk, GEDCOM og Genmod"
"um_res_counters";"Gjenopprett tellere for besøk"
"um_bu_usinfo";"Bruker-definisjoner, ramme-innstillinger, favoritter, beskjeder og nyheter"
"um_res_usinfo";"Gjenopprett brukerdefinisjoner, rammeinnstillinger, favoritter, beskjeder og nyheter"
"um_bu_lang";"Språkinnstillinger og utvidede språkfiler"
"um_mk_bu";"Lag sikkerhetskopi"
"um_mk_res";"Start gjenoppretting"
"um_nofiles";"Ingen filer funnet for sikkerhetskopiering."
"um_files_exist";"En eller flere filer finnes fra før. Ønsker du å overskrive dem?"
"um_results";"Resultater"
"um_res_errors";"Det oppstod feil under gjenopprettingen. Klikk for å se system-loggen for mer informasjon."
"um_res_success";"Gjenopprettingen av valgte data er utført."
"um_res_nofiles";"Fant ingen filer for å gjenopprette index-mappen din"
"um_res_nooptions";"Velg hvilke data som skal gjenopprettes"
"preview_faq_item";"Forhåndsvis alle Spørsmål og svar"
"restore_faq_edits";"Gjenopprett endringsmuligheten for spørsmål og svar"
"add_faq_item";"Legg til et spørsmål med svar"
"edit_faq_item";"Rediger et spørmål med svar"
"delete_faq_item";"Slett et spørmål med svar"
"moveup_faq_item";"Flytt et spørmål med svar opp"
"movedown_faq_item";"Flytt et spørmål med svar ned"
"type_audio";"Lyd"
"type_book";"Bok"
"type_card";"Kort"
"type_electronic";"Elektronisk"
"type_fiche";"Fil"
"type_film";"Film"
"type_magazine";"Magasin"
"type_manuscript";"Manuskript"
"type_map";"Kart"
"type_newspaper";"Avis"
"type_photo";"Foto"
"type_tombstone";"Gravstein"
"type_video";"Video"
"help_page";"Hjelp"
"show_contexthelp";"Vis tilhørende hjelpetekster"
"hide_contexthelp";"Skjul tilhørende hjelpetekster"
"help_config";"Hjelp om konfigurasjon"
"sc_sanity_check";"Genmod helsesjekk"
"sc_sanity_check_short";"Helsesjekk"
"sc_check";"Sjekk"
"sc_result";"Resultat"
"sc_check_components";"Sjekk System-komponenter"
"sc_php";"PHP versjon"
"sc_mysql";"MySQL versjon"
"sc_gd";"PHP grafisk modul"
"sc_ok";"OK"
"sc_php_low";"PHP-versjonen din er for gammel for å kunne kjøre Genmod skikkelig. Spør server-administratoren din om å oppgradere PHP-installasjonen."
"sc_mysql_low";"MySQL-versjonen din er for gammel for å kunne kjøre Genmod skikkelig. Spør server-administratoren din om å oppgradere MySQL-installasjonen."
"sc_gd_missing";"Fant ingen PHP GD-module på serveren din. Du vil ikke kunne vise grafiske diagram slik som slektshjul. Du kan spørre server-administratoren din om å installere den grafiske modulen."
"sc_ver_req";"Krever versjon:"
"sc_ver_found";"Fant versjon:"
"sc_check_sys_settings";"Sjekk PHP- og MySQL-innstillinger"
"sc_php_ini";"Innstillinger i PHP INI-fil"
"sc_value_req";"Krever verdi:"
"sc_value_found";"Fant verdi:"
"sc_ini_name";"PHP INI-innstillinger: "
"sc_ini_faults";"Følgende forskjeller ble funnet i forhold til påkrevet og faktiske innstillinger. Spør server-administratoren din om å justere disse verdiene."
"sc_mysql_user";"Minimum MySQL DB-bruker-rettigheter"
"sc_mysql_user_obs";"Foreldede MySQL DB-bruker-innstillinger"
"sc_mysql_users";"Du bør gjøre om rettighetene til å lese tabellen USER."
"sc_mysql_databases";"Du bør gjøre om rettighetene til å vise eller få tilgang til andre databaser enn"
"sc_mysql_dbcreate";"Du bør gjøre om rettighetene til å lage databaser."
"sc_mysql_dbdrop";"Du bør gjøre om rettighetene til å fjerne (drop) databaser."
"sc_opt_tables_done";"Tabeller er nå optimalisert"
"sc_opt_tables";"MySQL-tabell optimalisering"
"sc_opt_cannot";"Kan ikke optimalisere tabeller: ikke nok rettighet for DB-bruker"
"sc_no_rights";"Database-brukeren for å tilkobling til MySQL-databasen har ikke nok rettigheter. Du bør BARE gi rettighet for databasen som Genmod bruker. Følgende rettigheter bør gis for DENNE database: SELECT, INSERT, UPDATE, DELETE, CREATE, ALTER, INDEX, DROP."
"sc_mem";"PHP minnegrense"
"sc_low_value_found";"Laveste verdi funnet:"
"sc_mem_low";"Grensen for minnebruk for en eller flere av GEDCOM-filene dine er satt lavere enn den anbefalte verdien. Du bør justere dette i GEDCOM-innstillingene dine. Ikke desto mindre, minnegrensen kan også settes av administratoren til serveren din, slik at denne overstyrer maks-innstillingen din."
"sc_not_set";"Ikke angitt"
"sc_ged_sets";"Sjekk GEDCOM-integritet"
"sc_fs_security";"Sjekk sikkerhet til fil-system"
"sc_fs_main";"Rotnivå-katalogen og filer"
"sc_fs_main_error";"Rot-katalogen din er skrivbar. Endre rettighetene til kun lesbar (read-only)."
"sc_fs_index";"Index-katalog og filer"
"sc_fs_index_error";"Index-katalogen din og/eller filer er ikke skrivbar. Endre rettioghetene til lese/skrive (read/write)."
"sc_fs_languages";"Languages-katalog og filer"
"sc_fs_languages_rw";"Languages-katalogen din og/eller filer er skrivbare. Du bør bare la den være det dersom du bruker valget for å oversette Genmod."
"sc_fs_languages_ro";"Languages-katalogen din og/eller filer er ikke skrivbar. Du kan ikke bruke muligheten til å oversette Genmod."
"sc_fs_media";"Media-katalog og filer"
"sc_fs_media_rw";"Media-katalogen din er skrivbar. Dette bør bare være tilfelle dersom du bruker Genmod for å laste opp multimedia-filer.<br />Katalog:"
"sc_fs_media_ro";"Media-katalogen din er ikke skrivbar. Dette bør bare være tilfelle dersom du ikke bruker Genmod for å laste opp multimedia-filer.<br />Katalog:"
"sc_fs_filesrw";"Fant at følgende filer er skrivbare. Du bør endre rettighetene for disse filene til bare lesbar:"
"sc_fs_dirrw";"Fant at følgende kataloger er skrivbare. Du bør endre rettighetene for disse katalogene til bare lesbar:"
"sc_fs_filesro";"Fant at følgende filer er bare lesbare. Du bør endre rettighetene for disse filene til lese/skrive (read/write):"
"sc_fs_other";"Andre Genmod-kataloger og filer"
"sc_numchecked";"Antall filer sjekket:"
"sc_numrecs_checked";"Sjekket:"
"sc_numrecs_found";"Funnet:"
"sc_dir_noaccess";"Klarte ikke å lese katalogen. Sjekk katalog-navn og bruker-rettigheter for:"
"sc_ged_unlink";"Følgende personer har ikke kobling mot andre:"
"sc_ged_nounlink";"Alle personer har en kobling mot andre."
"sc_inv_sref";"Følgende personer har en kobling til en kilde som ikke finnes:"
"sc_inv_mref";"Følgende personer har en kobling til et multimedia-objekt som ikke finnes:"
"sc_inv_mref_fam";"Følgende familier har en kobling til et multimedia-objekt som ikke finnes:"
"sc_inv_mref_sour";"Følgende kilder har en kobling til et multimedia-objekt som ikke finnes:"
"sc_inv_sref_media";"Følgende multimedia-objekt har en kobling til en kilde som ikke finnes:"
"sc_inv_sref_fam";"Følgende familier har en kobling til en kilde som ikke finnes:"
"sc_inv_rref_sour";"Følgende kilder har en kobling til et oppbevaringssted som ikke finnes:"
"sc_unu_rref";"Følgende oppbevaringssteder har ingen koblinger:"
"sc_unu_sref";"Følgende kilder har ingen koblinger:"
"sc_unu_mref";"Følgende multimedia-objekt har ingen koblinger:"
"sc_unu_file";"Følgende filer har ingen koblinger:"
"sc_ok_sref";"Alle referanser fra personer til kilder er korrekte."
"sc_ok_mref";"Alle referanser fra personer til multimedia-objekt er korrekte."
"sc_ok_mref_fam";"Alle referanser fra familier til multimedia-objekt er korrekte."
"sc_ok_mref_sour";"Alle referanser fra kilder til multimedia-objekt er korrekte."
"sc_ok_sref_fam";"Alle referanser fra familier til kilder er korrekte."
"sc_ok_sref_media";"Alle referanser fra multimedia-objekt til kilder er korrekte."
"sc_ok_rref_sour";"Alle referanser fra kilder til oppbevaringssteder er korrekte."
"sc_ok_all_sref";"Alle kilder er referert til."
"sc_ok_all_rref";"Alle oppbevaringssteder er referert til."
"sc_ok_all_mref";"Alle multimedia-objekt er referert til."
"sc_ok_use_file";"Alle multimedia-filer er referert til."
"sc_start";"Start helse-sjekk"
"sc_inv_pointer";"Fant inkonsekvent referanse:"
"sc_fam";"Familie:"
"sc_no_backward_fam";"Familier har ikke noen bakover-referanse til denne personen."
"sc_no_fam";"Ingen familie med denne ID finnes for denne personen."
"sc_no_backward_indi";"Personer har ikke noen bakover-referanse til denne familien."
"sc_no_indi";"Ingen personer med denne ID finnes for denne familien."
"sc_indi";"Person:"
"sc_role";"Rolle:"
"sc_no_inv_point";"Fant ingen inkonsekvenser mellom familier og personer."
"sc_numpoint_checked";"Antall referanser sjekket:"
"sc_gedname";"Gedcom:"
"sc_media";"Multimedia-objekt:"
"recs_present";"Antall logginger:"
"sc_file";"Fil:"
"sc_ok_all_file";"Alle referanser fra multimedia-objekt til fysiske filer er korrekt"
"sc_inv_mref_file";"Følgende referanse fra multimedia-objekt til fysisk fil er ikke korrekt:"
"load_english";"Hent Engelske språk-filer"
"english_loaded";"Engelsk språkfiler er nå aktiveret"
"english_not_loaded";"Klarte ikke å hente engelske språkfiler"
"editlang_lang_export_success";"Har nå eksportert språk-filer"
"editlang_lang_export_no_success";"Klarte ikke å eksortere språk-filer"
"editlang_help_export_success";"Hjelpefilen for dette språket er eksportert"
"editlang_help_export_no_success";"Klarte ikke å eksportere hjelpfilen for språket"
"accesskey_help_content";"2"
"accesskey_help_current_page";"3"
"0";"0"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
"created_cache";"Tabellen <i>Eventcache</i> er opprettet."
"created_cache_fail";"Klarte ikke å opprette tabellen <i>Eventcache</i>."
"created_scache";"Tabellen <i>Statisticscache</i> er opprettet."
"created_scache_fail";"Klarte ikke å opprette tabellen <i>Statisticscache</i>."
"created_language";"Tabellen <i>Language</i> er opprettet."
"created_language_fail";"Klarte ikke å opprette tabellen <i>Language</i>."
"created_language_help";"Tabellen <i>Language Help</i> er opprettet."
"created_language_help_fail";"Klarte ikke å opprette tabellen <i>Language Help</i>."
"created_pages";"Tabellen <i>Pages</i> er opprettet."
"created_pages_fail";"Klarte ikke å opprette tabellen <i>Pages</i>."
"created_individual_spouse";"Tabellen <i>Spouses</i> er opprettet."
"created_individual_spouse_fail";"Klarte ikke å opprette tabellen <i>Spouses</i>."
"created_individual_child";"Tabellen <i>Child</i> er opprettet."
"created_individual_child_fail";"Klarte ikke å opprette tabellen <i>Barn</i>."
"my_pages";"Mine sider"
"new";"Ny"
"edit_pages";"Rediger sider"
"content";"Innhold"
"exwife";"Eks-hustru"
"exhusband";"Eks-ektemann"
"unlink_list";"Liste Ikke koblede"
