"select_an_option";"Select an option below:"
"fam_linking";"Links from Families"
"indi_linking";"Links from Individuals"
"sour_linking";"Links from Sources"
"repo_linking";"Links from Repositories"
"note_linking";"Links from General Notes"
"mm_linking";"Links from Multimedia"
"action_linking";"Links from ToDo's"
"no_empty_notes";"Sorry, you cannot enter empty notes."
"link_not_added";"You made a link to a non existent ID. This link is not added:"
"unapproved_link";"Changes are present for one or more links to this record. These changes will show up after approval."
"approve_first";"Please approve pending changes for this record first."
"associate_with";"Associate with"
"embedvar_not_found";"<b>embedded variable not found</b>"
"embedvar_not_allowed";"<b>embedded variable not allowed</b>"
"descent_steps";"Descent steps"
"gedcom_exists";"A GEDCOM-file with this name is already in the database"
"noemail";"Without email address"
"onlyemail";"With email address"
"no_faq_content";"An FAQ must have header and body text."
"cannot_create_file";"The file cannot be created. Check path name, acces rights etc."
"invalid_order";"The order you indicated is invalid. Nothing has been changed."
"invalid_birthfams";"A child can have a birth relation with only one family. Nothing has been changed."
"family_role";"Role"
"clear_clipboard";"Clear facts on clipboard"
"relations";"Associates"
"relationstomeperson";"Persons that relate to this person"
"relationstomefamily";"Persons that relate to this family"
"relationstoothers";"Persons and families this person relates to"
"related_event";"Related event"
"role";"Role"
"KEEP_ACTIONS";"Retain old ToDo's during re-import"
"check_md5";"Check file versions of this installation"
"wrong_md5";"Wrong version of this file is present:"
"md5_ok";"All files have the correct version"
"paternal_chart";"Paternal/Maternal lines"
"paternal_line_type";"Line type"
"paternal_lines_from";"Lines from"
"paternal_self";"This person"
"paternal_parents";"Parents"
"paternal_grandparents";"Grandparents"
"paternal_paternal";"Paternal"
"paternal_maternal";"Maternal"
"paternal_longest";"Longest"
"sort_on_name";"Sort on name"
"sort_on_size";"Sort on size"
"sort_on_linked";"Sort on linked"
"file_absent";"This file is not present:"
"messages";"Messages"
"family_of";"Family of"
"rcblock_show_indi";"Show changes for individuals"
"rcblock_show_fam";"Show changes for families"
"rcblock_show_sour";"Show changes for sources"
"rcblock_show_repo";"Show changes for repositories"
"rcblock_show_obje";"Show changes for media items"
