"ABBREVIATE_CHART_LABELS";"Forkorte ledeord i diagram"
"usr_idle";"Antall måneder en bruker kan la vær å logge seg inn før brukerkontoen ansees som inaktiv: "
"usr_idle_toolong";"Kontoen til brukeren har vært inaktiv for lenge: "
"usr_no_cleanup";"Fant ikke noe å rydde"
"usr_unset_gedcomid";"Fjern slektsfilID for "
"usr_unset_rights";"Fjern rettigheter til slektsfilen for "
"usr_unset_rootid";"Fjern hovedID for "
"utf8_to_ansi";"Konvertere fra UTF-8 til ANSI tegnsett?"
"valid_gedcom";"Gyldig slektsfil funnet.  Det er ikke nødvendig å gjøre endringer."
"validate_gedcom";"Sjekker kvaliteten til slektsfilen"
"var_not_exist";"<span style=font-weight: bold>Kan ikke finne noen hjelpetekst.<br />Vennligst gi oss en melding om dette på <a href="http://sourceforge.net/tracker/?group_id=55456&atid=477079" target="_blank" />internettsiden</a> vår.</span>"
"verified";"Bruker har<br />bekreftet søknaden"
"verified_by_admin";"Godkjent bruker<br />[av Admin]"
"verify_gedcom";"Sjekk slektsfilen (GEDCOM)"
"verify_upload_instructions";"Dersom du velger å fortsette, vil den eksisterende slektsfilen bli erstattet med den filen som du har valgt å laste opp. Den nye filen vil deretter bli importert inn i Genmod.<br />Velger du å avbryte, vil den eksisterende slektsfilen forbli uforandret."
"view";"Vis"
"view_change_diff";"Vis endring(er), forskjell(er)"
"view_changelog";"Vis filen changelog.txt"
"view_family";"Vis familie"
"view_gedcom";"Vis opplysningene i slektsfilen"
"view_gedlog";"Vis slektsbase-logg"
"view_logs";"Vis logg-fil "
"view_person";"Vis person"
"view_readme";"Vis filen readme.txt"
"view_records_in_place";"Vis alle personer / familier knyttet til stedet "
"view_searchlog";"Vis søke-logg"
"view_source";"Vis kilde"
"view_syslog";"Vis system-logg"
"viewday";"Vis dag"
"viewing_url";"Denne beskjed ble sendt da du var på følgende url: "
"viewmonth";"Vis måned"
"viewyear";"Vis år"
"visibleonline";"Vis andre at du er pålogget"
"visitor";"Besøkende"
"warn_users";"Brukere med advarsler"
"warning";"Beskjed om advarsel"
"wednesday";"onsdag"
"wednesday_1st";"O"
"week_start";"Uke-start"
"weekly";"Ukentlig"
"welcome";"Velkommen"
"welcome_block";"Rammen Bruker/eier-info"
"welcome_descr";"Rammen for brukeres egen siden viser brukeren, gjeldende dato og tid, hurtiglinker for endre egen konto eller å gå til deres eget slektstre, og en link for å tilpasse egen siden."
"welcome_new";"Velkommen til din nye nettsted med Genmod."
"welcome_new2";"Ettersom du kan se denne siden, har du lykkes med å installere Genmod på nettstedet ditt,<br />og kan nå fortsette med å konfigurere Genmod etter dine ønsker.<br />"
"welcome_page";"Hovedside"
"welcome_text_auth_mode_1";"<center><h3><b>Velkommen til disse slektssidene !</b></h3>PS! - <i>Sidene er tilgjengelig for <b>alle</b> besøkende som har en brukerkonto.</i><br />Har du en brukerkonto, kan du logge deg inn under.<br /><br />Dersom du ikke har en brukerkonto enda, kan du søke om å få en<br />ved å klikke på linken "Søke om brukerkonto".<br />Etter å ha sjekket informasjonen i søknaden, vil administratoren til nettstedet aktivere kontoen din.<br />Du vil motta en e-post når den er godkjent.</center>"
"welcome_text_auth_mode_2";"<center><h3><b>Velkommen til disse slektssidene !</b></h3>PS! - <i>Sidene er <b>bare</b> tilgjengelig for <b>registrerte</b> brukere!</i><br />Har du en brukerkonto, kan du logge deg inn under.<br /><br />Dersom du ikke har en konto enda, kan søke om å få opprettet en konto<br />ved å klikke på linken "Søke om brukerkonto".<br />Etter å ha sjekket informasjonen i søknaden din,<br />kan administratoren til nettstedet enten godkjenne eller avslå den.<br />Du vil motta en e-post med beskjed dersom søknaden din blir akseptert.</center>"
"welcome_text_auth_mode_3";"<center><h3><b>Velkommen til disse slektssidene !</b></h3>PS! - <i>Sidene er <b>bare</b> tilgjengelig for <b>medlemmer av familien</b>.</i><br />Har du en brukerkonto, kan du logge deg inn under.<br /><br />Dersom du ikke har en konto enda, kan søke om å få opprettet en konto<br />ved å klikke på linken "Søke om brukerkonto".<br />Etter å ha sjekket informasjonen i søknaden din,<br />kan administratoren til nettstedet enten godkjenne eller avslå den.<br />Du vil motta en e-post dersom den blir godkjent.</center>"
"welcome_text_cust_head";"<center><h3><b>Velkommen til disse slektssidene !</b></h3>PS! - <i>Sidene er <b>bare</b> tilgjengelig for brukere som har <b>gyldig</b> brukernavn og passord.</i></center><br />"
"which_links";"Merk av hvilke opplysninger du ønsker å kopiere fra den valgte familien."
"which_p_links";"Merk av hvilke opplysninger du ønsker å kopiere fra den valgte personen."
"wife";"Hustru"
"wife_added";"Hustru er nå lagt til."
"wife_present";"Denne familien har allerede en tilknyttet hustru."
"witness";"Vitne"
"xreftorin";"Konvertere XREF-IDer til RIN-nummer"
"year";"År"
"year1";"år"
"year_anniversary";"#year_var#. årsdag"
"year_error";"Beklager, datoer før 1970 støttes ikke."
"yearly";"Årlig"
"years";"år"
"yes";"Ja"
"you_may";"Du kan:"
"you_may_login";"av administratoren til nettstedet.<br />Du kan nå logge deg inn på nettstedet ved å klikke på linken under:"
"zoom_box";"Zoom denne boksen inn/ut"
"zoom_in";"Zoom inn"
"zoom_out";"Zoom ut"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
