"ABBREVIATE_CHART_LABELS";"קצר תגים בתרשימים"
"welcome_text_auth_mode_3";"<center><b>ברוכים הבאים לאתר הזה של חקר שושלת היוחסין</b></center><br />גישה לאתר זה מותרת <u>רק לבני משפחה</u>.<br />אם יש לך קוד משתמש תוכל להתחבר למערכת באמצעות הדף הזה. אם אין לך קוד משתמש, תוכל לבקש קוד משתמש ע"י לחיצה על הקישור המתאים מלמטה.<br /><br />מנהלן האתר יבדוק את נתוניך ויאשר או ידחה את בקשתך. תקבל דואר אלקטרוני אחרי שבקשתך תאושר."
"welcome_text_cust_head";"<center><b>ברוכים הבאים לאתר הזה של חקר שושלת היוחסין</b></center><br />גישה לאתר זה מותרת למשתמשים בעלי קוד משתמש וסיסמא.<br />"
"which_links";"איזה קשרים ברצונך להוסיף ממשפחה זו?"
"which_p_links";"איזה קשרים ברצונך להוסיף לאדם זה?"
"wife";"אישה"
"witness";"עד"
"xreftorin";"הסב מספרי XREF ID למספרי RIN"
"year";"שנה:"
"year1";"שנה"
"year_anniversary";"יום השנה #year_var#"
"year_error";".סליחה, תאריכים לפני 1970 אינם נתמכים"
"yearly";"שנתי"
"years";"שנים"
"yes";"כן"
"you_may";"הנך יכול:"
"you_may_login";"הקישור מתחת מביא אותך לאתר ה-Genmod:"
"zoom_box";"קרב / הרחק"
"zoom_in";"קרב"
"zoom_out";"הרחק"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
